"","x"
"1","Peru-Amazon Lowlands"
"2","Bolivia-Amazon Lowlands"
"3","Desaguadero-SAltiplano"
"4","Sud Lipez"
"5","Peru-Andean eastern"
"6","Cochabamba"
"7","Peru-Andean Puna"
"8","JuninPlain"
"9","Ecuador-Andean"
"10","Chile-Andean"
"11","Argentina-Andean"
"12","Pantanal"
"13","Bolivia-Beni"
"14","Titicaca-lake"
"15","Titicaca-watershed"
"16","Cusco"
"17","Ecuador-Interandean"
"18","Ecuador-Coastal"
"19","Ecuador-Amazonia"
"20","Sehuencas-WesternAndes"
"21","Sorata-WesternAndes"
"22","Colombia-Andes"
"23","Colombia-Lowlands"
"24","Argentina-MarChiquita"
"25","Chile-Coastal"
"26","Galapagos"
