"","Achnanthidium.minutissimum","Amphora.inarensis","Amphora.veneta","Cocconeis.placentula","Cyclotella.meneghiniana","Diatoma.vulgaris","Encyonema.minutum","Epithemia.sorex","Fragilaria.crotonensis","Melosira.varians","Navicula.capitatoradiata","Navicula.veneta","Nitzschia.frustulum","Nitzschia.liebertruthii","Nitzschia.palea","Nitzschia.perminuta","Other.benthics","Other.planktonics","Reimeria.sinuata"
"Ttcc-wt_Huatajat1",1.612903226,0,0.17921147,54.83870968,4.838709677,0.17921147,0,0.358422939,10.03584229,0,0,5.017921147,1.254480287,1.433691756,8.064516129,0,7.885304659,4.301075269,0
"Ttcc-wt_Huatajat2",5.921052632,0,0.219298246,32.23684211,8.99122807,0,0,0.219298246,12.5,0,0,5.043859649,2.412280702,8.552631579,3.728070175,0.877192982,16.00877193,3.289473684,0
"Ttcc-wt_Huatajat3",2.254098361,0,3.68852459,24.59016393,4.303278689,0.204918033,0,2.254098361,6.557377049,0,0,10.04098361,2.049180328,3.893442623,24.59016393,0,12.90983607,2.663934426,0
"Ttcc-wt_IlavRivr1",0,0,23.95348837,54.41860465,0,0.930232558,0,0.465116279,0,0,0.465116279,0,0.697674419,0.23255814,14.41860465,0.465116279,3.720930233,0,0.23255814
"Ttcc-wt_IlavRivr2",0.487804878,0,0,1.463414634,0.487804878,3.902439024,0,8.292682927,0,29.26829268,5.365853659,0.731707317,0.975609756,7.317073171,19.51219512,9.512195122,12.43902439,0,0.243902439
"Ttcc-wt_IlavRivr3",33.33333333,0,0,1.657458564,0.184162063,9.208103131,4.604051565,0,5.524861878,0,0,0,0,0.73664825,0.184162063,0,18.78453039,0.184162063,25.5985267
"Ttcc-wt_IsldelSl",0.67114094,0,0,4.250559284,0.67114094,6.040268456,0,14.31767338,0.894854586,15.8836689,9.172259508,0.67114094,0,4.474272931,14.76510067,7.158836689,20.35794183,0.223713647,0.447427293
"Ttcc-wt_SuchsRvr1",39.48497854,0,0,43.77682403,0,2.360515021,3.21888412,0,0,0,1.716738197,0.429184549,0.858369099,0,1.287553648,0,4.291845494,0.214592275,2.360515021
"Ttcc-wt_SuchsRvr2",64.03508772,0,0,7.675438596,0,2.412280702,11.62280702,0,0,0,0.877192982,0.219298246,0,0.657894737,3.728070175,0,7.675438596,0,1.096491228
"Ttcc-wt_SuchsRvr3",66.28131021,0,0,18.3044316,0,0.578034682,4.238921002,0.192678227,0,0,0.578034682,0,0,1.156069364,0.963391137,0,7.129094412,0,0.578034682
"Ttcc-wt_SuchsRvr4",68.54663774,0,0,12.5813449,0,3.470715835,5.639913232,0,0,0,0.21691974,0,0,1.301518438,1.518438178,0,6.290672451,0,0.433839479
"Ttcc-wt_SuchsRvr5",67.32283465,9.580052493,0,0.262467192,0,1.57480315,0,0,0,0,0,0.262467192,17.06036745,1.049868766,0,0,2.887139108,0,0
