"","CollectionName","Country","Collector.Analyst","Year","SiteName","SampleType","Habitat","Substrate","code","region","Lat.DD.S","Long.DD.W"
"Ttcc-wt_Huatajat1","Titicaca-watershed","Bolivia-Peru","Tapia-Fritz",1998,"Huatajata","modern","Lake","periphyton","Ttcc-wt_Huatajat1","Titicaca-watershed",-16.214,-68.688
"Ttcc-wt_Huatajat2","Titicaca-watershed","Bolivia-Peru","Tapia-Fritz",1998,"Huatajata","modern","Lake","periphyton","Ttcc-wt_Huatajat2","Titicaca-watershed",-16.214,-68.688
"Ttcc-wt_Huatajat3","Titicaca-watershed","Bolivia-Peru","Tapia-Fritz",1998,"Huatajata","modern","Lake","periphyton","Ttcc-wt_Huatajat3","Titicaca-watershed",-16.214,-68.688
"Ttcc-wt_IlavRivr1","Titicaca-watershed","Bolivia-Peru","Tapia-Fritz",1998,"Ilave River","modern","River","periphyton","Ttcc-wt_IlavRivr1","Titicaca-watershed",-16.094,-69.635
"Ttcc-wt_SuchsRvr1","Titicaca-watershed","Bolivia-Peru","Tapia-Fritz",1998,"Suches River","modern","River","periphyton","Ttcc-wt_SuchsRvr1","Titicaca-watershed",-15.656,-69.13
"Ttcc-wt_SuchsRvr2","Titicaca-watershed","Bolivia-Peru","Tapia-Fritz",1998,"Suches River","modern","River","periphyton","Ttcc-wt_SuchsRvr2","Titicaca-watershed",-15.656,-69.13
"Ttcc-wt_SuchsRvr3","Titicaca-watershed","Bolivia-Peru","Tapia-Fritz",1998,"Suches River","modern","River","periphyton","Ttcc-wt_SuchsRvr3","Titicaca-watershed",-15.656,-69.13
"Ttcc-wt_SuchsRvr4","Titicaca-watershed","Bolivia-Peru","Tapia-Fritz",1998,"Suches River","modern","River","periphyton","Ttcc-wt_SuchsRvr4","Titicaca-watershed",-15.656,-69.13
"Ttcc-wt_IsldelSl","Titicaca-watershed","Bolivia-Peru","Tapia-Fritz",1998,"Isla del Sol","modern","Spring","epilithic","Ttcc-wt_IsldelSl","Titicaca-watershed",-16.002,-69.171
"Ttcc-wt_IlavRivr2","Titicaca-watershed","Bolivia-Peru","Tapia-Fritz",1998,"Ilave River","modern","River","phytoplankton","Ttcc-wt_IlavRivr2","Titicaca-watershed",-16.094,-69.635
"Ttcc-wt_IlavRivr3","Titicaca-watershed","Bolivia-Peru","Tapia-Fritz",1998,"Ilave River","modern","River","phytoplankton","Ttcc-wt_IlavRivr3","Titicaca-watershed",-16.094,-69.635
"Ttcc-wt_SuchsRvr5","Titicaca-watershed","Bolivia-Peru","Tapia-Fritz",1998,"Suches River","modern","River","phytoplankton","Ttcc-wt_SuchsRvr5","Titicaca-watershed",-15.656,-69.13
